浅草,東京都台東区,139.797592,35.710733
上野,東京都台東区東上野三丁目19-6,139.777122,35.711482
神田,東京都千代田区神田須田町一丁目16,139.770899,35.693587
新橋,東京都港区新橋二丁目17-5,139.758432,35.667434
渋谷,東京都渋谷区道玄坂一丁目1-1,139.701,35.659066
池袋,東京都豊島区,139.711086,35.730256
東京,東京都千代田区丸の内一丁目,139.764708,35.681753
新宿,東京都新宿区西新宿一丁目 西口地下街1号,139.700711,35.69235
上野,東京都台東区東上野三丁目19-6,139.777122,35.711482
秋葉原,東京都千代田区神田佐久間町一丁目21,139.775459,35.698162
恵比寿,東京都渋谷区恵比寿南一丁目5-5,139.708988,35.647332
高田馬場,東京都新宿区高田馬場一丁目35-1,139.704745,35.713338
早稲田,東京都新宿区,139.721319,35.705723
飯田橋,東京都千代田区飯田橋四丁目10-3,139.745986,35.701725
西日暮里,東京都荒川区西日暮里五丁目14-1,139.766511,35.732257
地下鉄成増,東京都板橋区成増二丁目11-3,139.631497,35.776557
地下鉄赤塚,東京都練馬区北町八丁目37-16,139.644021,35.769939
平和台,東京都練馬区早宮2-17-48,139.653762,35.757863
氷川台,東京都練馬区氷川台三丁目38-18,139.665567,35.74955
小竹向原,東京都練馬区小竹町二丁目16-15,139.678572,35.743803
千川,東京都豊島区要町三丁目10-7,139.689271,35.738229
要町,東京都豊島区要町一丁目1-10,139.698715,35.73323
池袋,東京都豊島区西池袋三丁目28-14,139.710088,35.729565
東池袋,東京都豊島区東池袋四丁目4-4,139.719546,35.725732
護国寺,東京都文京区大塚五丁目40-8,139.72754,35.719044
江戸川橋,東京都文京区関口一丁目19-6,139.733538,35.709495
飯田橋,東京都新宿区神楽坂一丁目13,139.743669,35.701934
市ケ谷,東京都新宿区市谷田町一丁目1,139.73647,35.691958
麹町,東京都千代田区麹町三丁目2,139.737613,35.684006
永田町,東京都千代田区永田町一丁目11-28,139.740258,35.678757
桜田門,東京都千代田区霞が関二丁目1-1,139.75149,35.677405
有楽町,東京都千代田区有楽町一丁目11-1,139.763265,35.675714
銀座一丁目,東京都中央区銀座一丁目7-12,139.767045,35.67435
新富町,東京都中央区築地一丁目1-1,139.773711,35.670462
月島,東京都中央区月島一丁目3-9,139.784233,35.664871
豊洲,東京都江東区豊洲四丁目1-1,139.79621,35.654908
辰巳,東京都江東区辰巳一丁目1-44,139.81052,35.645576
新木場,東京都江東区新木場一丁目6,139.826254,35.645832
渋谷,東京都渋谷区道玄坂二丁目1-1,139.701,35.659066
永田町,東京都千代田区永田町一丁目11-29,139.740258,35.678757
西ケ原,東京都北区西ヶ原二丁目3-8,139.742322,35.746008
駒込,東京都豊島区駒込二丁目,139.746442,35.736959
飯田橋,東京都新宿区神楽坂一丁目13,139.743669,35.701934
市ケ谷,東京都千代田区五番町2-1,139.736642,35.691295
永田町,東京都千代田区永田町一丁目11-28,139.740258,35.678757
目黒,東京都品川区上大崎四丁目2-1,139.7155,35.633272
地下鉄成増,東京都板橋区成増二丁目11-3,139.631497,35.776557
地下鉄赤塚,東京都練馬区北町八丁目37-16,139.644021,35.769939
平和台,東京都練馬区早宮2-17-48,139.653762,35.757863
氷川台,東京都練馬区氷川台三丁目38-18,139.665567,35.74955
小竹向原,東京都練馬区小竹町二丁目16-15,139.678572,35.743803
千川,東京都豊島区要町三丁目10-7,139.689271,35.738229
要町,東京都豊島区要町一丁目1-10,139.698715,35.73323
池袋,東京都豊島区,139.708291,35.731464
渋谷,東京都渋谷区道玄坂二丁目1-1,139.702417,35.659545
飯田橋,東京都文京区後楽一丁目9-5,139.744999,35.702927
月島,東京都中央区月島一丁目3-9,139.784233,35.664871
代々木,東京都渋谷区代々木一丁目35-5,139.701666,35.683218
新宿,東京都渋谷区代々木二丁目1-1,139.698812,35.68869
五反田,東京都品川区東五反田一丁目26-14,139.724175,35.627102
新橋,東京都港区新橋二丁目21-1,139.759451,35.665577
浅草,東京都台東区,139.79697,35.709461
目黒,東京都品川区上大崎四丁目2-1,139.7155,35.633272
巣鴨,東京都豊島区巣鴨,139.738519,35.733502
新宿,東京都新宿区西新宿一丁目18,139.698812,35.68869
市ヶ谷,東京都新宿区市谷田町一丁目1,139.735794,35.692594
西ヶ原四丁目,東京都北区西ヶ原四丁目,139.732779,35.744501
都電雑司ヶ谷,東京都豊島区南池袋,139.718006,35.724261
早稲田,東京都新宿区,139.718928,35.711848
秋葉原,東京都千代田区,139.774273,35.698889
浅草,東京都台東区,139.792389,35.713817
新橋,東京都港区東新橋一丁目5-13,139.759644,35.665503
豊洲,東京都江東区豊洲,139.795414,35.653792
浜松町,東京都港区,139.756747,35.655666
羽田空港国際線ビル,東京都大田区羽田空港二丁目6-5,139.768206,35.544169
新木場,東京都江東区新木場一丁目6,139.827402,35.646172
大崎,東京都品川区大崎一丁目21-4,139.728439,35.619772
京成高砂,東京都葛飾区高砂五丁目28-1,139.866875,35.750932
日暮里,東京都荒川区西日暮里二丁目19-1,139.771287,35.727908
西日暮里,東京都荒川区西日暮里五丁目31-7,139.766857,35.731954
